patch_id,patch_idx,biweek,mean,sd,q10,q50,q90
patch_x0_y0,0,0,0.4,0.48989794855663565,0.0,0.0,1.0
patch_x1_y0,1,0,0.3,0.45825756949558394,0.0,0.0,1.0
patch_x2_y0,2,0,0.5,0.9219544457292888,0.0,0.0,1.1999999999999993
patch_x3_y0,3,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x4_y0,4,0,0.3,0.6403124237432848,0.0,0.0,1.0999999999999996
patch_x5_y0,5,0,0.3,0.45825756949558405,0.0,0.0,1.0
patch_x6_y0,6,0,0.3,0.45825756949558405,0.0,0.0,1.0
patch_x7_y0,7,0,0.4,0.48989794855663565,0.0,0.0,1.0
patch_x8_y0,8,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x9_y0,9,0,0.4,0.48989794855663565,0.0,0.0,1.0
patch_x0_y1,10,0,0.4,0.4898979485566356,0.0,0.0,1.0
patch_x1_y1,11,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x2_y1,12,0,0.6,1.0198039027185568,0.0,0.0,2.0999999999999996
patch_x3_y1,13,0,0.3,0.6403124237432848,0.0,0.0,1.0999999999999996
patch_x4_y1,14,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x5_y1,15,0,0.6,0.66332495807108,0.0,0.5,1.0999999999999996
patch_x6_y1,16,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x7_y1,17,0,0.5,0.9219544457292888,0.0,0.0,1.1999999999999993
patch_x8_y1,18,0,0.6,0.48989794855663565,0.0,1.0,1.0
patch_x9_y1,19,0,0.6,0.4898979485566356,0.0,1.0,1.0
patch_x0_y2,20,0,0.4,0.48989794855663565,0.0,0.0,1.0
patch_x1_y2,21,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x2_y2,22,0,0.4,0.48989794855663565,0.0,0.0,1.0
patch_x3_y2,23,0,0.5,0.9219544457292888,0.0,0.0,1.1999999999999993
patch_x4_y2,24,0,0.3,0.45825756949558394,0.0,0.0,1.0
patch_x5_y2,25,0,0.2,0.4,0.0,0.0,1.0
patch_x6_y2,26,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x7_y2,27,0,0.4,0.48989794855663565,0.0,0.0,1.0
patch_x8_y2,28,0,0.0,0.0,0.0,0.0,0.0
patch_x9_y2,29,0,0.5,0.6708203932499369,0.0,0.0,1.0999999999999996
patch_x0_y3,30,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x1_y3,31,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x2_y3,32,0,0.6,1.0198039027185568,0.0,0.0,2.0999999999999996
patch_x3_y3,33,0,0.7,0.6403124237432848,0.0,1.0,1.0999999999999996
patch_x4_y3,34,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x5_y3,35,0,0.3,0.45825756949558405,0.0,0.0,1.0
patch_x6_y3,36,0,0.6,1.0198039027185568,0.0,0.0,2.0999999999999996
patch_x7_y3,37,0,0.5,0.5,0.0,0.5,1.0
patch_x8_y3,38,0,0.0,0.0,0.0,0.0,0.0
patch_x9_y3,39,0,0.3,0.45825756949558405,0.0,0.0,1.0
patch_x0_y4,40,0,0.3,0.6403124237432849,0.0,0.0,1.0999999999999996
patch_x1_y4,41,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x2_y4,42,0,0.4,0.4898979485566356,0.0,0.0,1.0
patch_x3_y4,43,0,0.3,0.45825756949558394,0.0,0.0,1.0
patch_x4_y4,44,0,0.5,0.9219544457292888,0.0,0.0,1.1999999999999993
patch_x5_y4,45,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x6_y4,46,0,0.3,0.45825756949558394,0.0,0.0,1.0
patch_x7_y4,47,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x8_y4,48,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x9_y4,49,0,0.3,0.45825756949558405,0.0,0.0,1.0
patch_x0_y5,50,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x1_y5,51,0,0.7,0.6403124237432849,0.0,1.0,1.0999999999999996
patch_x2_y5,52,0,0.3,0.6403124237432849,0.0,0.0,1.0999999999999996
patch_x3_y5,53,0,0.4,0.66332495807108,0.0,0.0,1.0999999999999996
patch_x4_y5,54,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x5_y5,55,0,0.0,0.0,0.0,0.0,0.0
patch_x6_y5,56,0,0.4,0.66332495807108,0.0,0.0,1.0999999999999996
patch_x7_y5,57,0,0.5,0.6708203932499369,0.0,0.0,1.0999999999999996
patch_x8_y5,58,0,0.0,0.0,0.0,0.0,0.0
patch_x9_y5,59,0,0.4,0.48989794855663565,0.0,0.0,1.0
patch_x0_y6,60,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x1_y6,61,0,0.4,0.9165151389911681,0.0,0.0,1.1999999999999993
patch_x2_y6,62,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x3_y6,63,0,0.2,0.4000000000000001,0.0,0.0,1.0
patch_x4_y6,64,0,0.3,0.45825756949558405,0.0,0.0,1.0
patch_x5_y6,65,0,0.5,0.9219544457292888,0.0,0.0,1.1999999999999993
patch_x6_y6,66,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x7_y6,67,0,0.7,0.9,0.0,0.5,1.1999999999999993
patch_x8_y6,68,0,0.4,0.66332495807108,0.0,0.0,1.0999999999999996
patch_x9_y6,69,0,0.3,0.45825756949558394,0.0,0.0,1.0
patch_x0_y7,70,0,1.4,3.261901286060018,0.0,0.0,2.899999999999997
patch_x1_y7,71,0,0.1,0.30000000000000004,0.0,0.0,0.09999999999999964
patch_x2_y7,72,0,0.7,1.004987562112089,0.0,0.0,2.0999999999999996
patch_x3_y7,73,0,0.6,0.66332495807108,0.0,0.5,1.0999999999999996
